"Time","Great Sand Dunes National Park and Preserve","Great Smoky Mountains National Park","Guadalupe Mountains National Park","Haleakalā National Park","Hawaiʻi Volcanoes National Park","Hot Springs National Park","Indiana Dunes National Park","Isle Royale National Park"
"2016-08-01",6,3,1,6,4,2,7,1
"2016-09-01",4,3,1,5,4,2,4,1
"2016-10-01",3,4,2,5,4,2,2,0
"2016-11-01",3,9,2,2,7,2,0,1
"2016-12-01",2,7,2,3,5,1,0,1
"2017-01-01",3,6,2,2,6,1,0,1
"2017-02-01",4,6,2,3,6,1,0,1
"2017-03-01",6,7,2,3,5,2,1,2
"2017-04-01",6,9,2,4,5,2,1,3
"2017-05-01",8,11,2,5,6,2,1,4
"2017-06-01",10,11,2,4,5,2,3,4
"2017-07-01",9,10,2,5,5,2,6,4
"2017-08-01",6,9,2,5,3,1,3,4
"2017-09-01",4,9,1,5,3,1,2,2
"2017-10-01",3,9,2,4,4,2,1,2
"2017-11-01",2,7,2,5,4,1,0,2
"2017-12-01",2,7,2,5,4,1,0,2
"2018-01-01",3,9,2,5,5,1,0,2
"2018-02-01",3,6,2,4,6,1,0,2
"2018-03-01",4,1,2,2,6,2,1,1
"2018-04-01",5,1,2,4,8,2,2,1
"2018-05-01",7,1,1,5,100,2,6,1
"2018-06-01",7,2,1,4,11,2,7,1
"2018-07-01",6,2,2,5,6,2,11,1
"2018-08-01",5,3,2,4,4,2,9,1
"2018-09-01",4,3,1,5,9,1,4,1
"2018-10-01",3,3,2,5,6,2,2,1
"2018-11-01",2,2,2,5,4,2,1,1
"2018-12-01",2,3,2,6,4,1,1,1
"2019-01-01",3,3,2,6,5,1,1,1
"2019-02-01",3,2,2,9,4,2,5,1
"2019-03-01",4,4,2,6,4,2,3,1
"2019-04-01",5,3,2,6,4,2,4,1
"2019-05-01",9,3,2,7,5,2,9,1
"2019-06-01",11,3,1,7,4,2,11,1
"2019-07-01",8,4,1,7,4,3,17,2
"2019-08-01",7,3,2,6,4,2,10,1
"2019-09-01",5,3,2,5,3,2,5,1
"2019-10-01",4,3,2,5,4,2,3,1
"2019-11-01",3,3,2,4,4,2,2,1
"2019-12-01",3,2,2,5,4,2,2,1
"2020-01-01",3,3,2,6,5,2,2,1
"2020-02-01",3,3,2,5,4,2,3,1
"2020-03-01",4,3,2,3,3,2,2,1
"2020-04-01",3,3,1,1,2,1,3,1
"2020-05-01",7,7,2,1,2,2,9,1
"2020-06-01",11,7,2,1,2,3,21,1
"2020-07-01",10,7,2,2,1,3,20,2
"2020-08-01",9,6,2,1,1,3,12,2
"2020-09-01",7,8,2,1,1,3,6,1
"2020-10-01",5,6,2,1,2,3,3,1
"2020-11-01",3,4,2,2,1,2,2,1
"2020-12-01",3,4,2,2,4,2,2,1
"2021-01-01",3,4,2,2,3,2,2,1
"2021-02-01",3,4,2,3,3,2,2,1
"2021-03-01",4,5,3,4,4,3,4,1
"2021-04-01",7,5,2,5,4,3,5,1
"2021-05-01",10,5,2,6,4,3,8,2
"2021-06-01",10,6,2,6,4,3,13,2
"2021-07-01",10,5,2,7,4,3,14,2
"2021-08-01",7,4,2,6,3,2,9,2
"2021-09-01",6,5,2,5,4,2,6,1
"2021-10-01",5,6,2,4,5,2,3,1
"2021-11-01",3,3,2,4,4,2,2,1
"2021-12-01",3,2,2,5,4,2,2,1
"2022-01-01",4,3,2,6,5,3,3,1
"2022-02-01",5,3,3,6,6,3,3,1
"2022-03-01",6,5,3,6,6,3,4,1
"2022-04-01",7,5,2,7,7,3,5,2
"2022-05-01",9,5,2,7,7,3,8,2
"2022-06-01",10,4,2,7,5,3,13,2
"2022-07-01",8,4,2,7,6,3,14,2
"2022-08-01",7,4,2,7,5,2,9,2
"2022-09-01",6,3,2,6,5,2,6,1
"2022-10-01",4,4,2,5,4,2,3,1
"2022-11-01",3,2,2,5,6,2,2,1
"2022-12-01",3,3,2,6,6,2,2,1
